"feature_of_interest_cv_num","feature_of_interest_cv_name","feature_of_interest_description"
1,"Not Applicable",""
2,"INDIAN","GEOGRAPH_LOC"
3,"CONRAD","GEOGRAPH_LOC"
4,"PACIFIC-ANTARCTIC RIDGE","GEOGRAPH_LOC"
5,"ELTANIN","GEOGRAPH_LOC"
6,"KOLBEINSEY RIDGE","GEOGRAPH_LOC"
7,"RED SEA","GEOGRAPH_LOC"
8,"REYKJANES RIDGE","GEOGRAPH_LOC"
9,"EXPLORER RIDGE","GEOGRAPH_LOC"
10,"ANDREW BAIN","GEOGRAPH_LOC"
11,"NORTH FIJI","GEOGRAPH_LOC"
12,"GALAPAGOS","GEOGRAPH_LOC"
13,"SAINT HELENA","GEOGRAPH_LOC"
14,"LOUISVILLE","GEOGRAPH_LOC"
15,"COCOS-NAZCA","GEOGRAPH_LOC"
16,"RODRIGUEZ","GEOGRAPH_LOC"
17,"SCOTIA SEA","GEOGRAPH_LOC"
18,"SCOTIA","GEOGRAPH_LOC"
19,"OWEN","GEOGRAPH_LOC"
20,"EAST BULLARD","GEOGRAPH_LOC"
21,"LOUISVILLE 37","GEOGRAPH_LOC"
22,"WEST PHILIPPINE ","GEOGRAPH_LOC"
23,"PHOENIX RIDGE","GEOGRAPH_LOC"
24,"SHIMADA","GEOGRAPH_LOC"
25,"JAN MAYEN PLATFORM","GEOGRAPH_LOC"
26,"SOUTH SANDWICH","GEOGRAPH_LOC"
27,"DRAKE PASSAGE","GEOGRAPH_LOC"
28,"HEEZEN TRANSFORM FAULT","GEOGRAPH_LOC"
29,"GLUTTONY","GEOGRAPH_LOC"
30,"HUMILITY","GEOGRAPH_LOC"
31,"COURAGE","GEOGRAPH_LOC"
32,"TRANSFORM FAULT A","GEOGRAPH_LOC"
33,"SHIKOKU","GEOGRAPH_LOC"
34,"WESTERN","GEOGRAPH_LOC"
35,"VALU FAS","GEOGRAPH_LOC"
36,"FRACTURE ZONE A","GEOGRAPH_LOC"
37,"GUADELOUPE","GEOGRAPH_LOC"
38,"SOUTH FIJI","GEOGRAPH_LOC"
39,"MARGOT","GEOGRAPH_LOC"
40,"BISMARCK","GEOGRAPH_LOC"
41,"LAGEY","GEOGRAPH_LOC"
42,"MACDONALD","GEOGRAPH_LOC"
43,"AUSTRAL ISLANDS","GEOGRAPH_LOC"
44,"KINAN","GEOGRAPH_LOC"
45,"AOGASHIMA RIFT","GEOGRAPH_LOC"
46,"CENTRAL AMERICA","GEOGRAPH_LOC"
47,"LAKE BULLENMERRI","GEOGRAPH_LOC"
48,"RAMA ROAD","GEOGRAPH_LOC"
49,"SAN JACINTO","GEOGRAPH_LOC"
50,"SAN CRISTOBAL","GEOGRAPH_LOC"
51,"MIRAVALLES","GEOGRAPH_LOC"
52,"OLDER CONE","GEOGRAPH_LOC"
53,"MAX","GEOGRAPH_LOC"
54,"SOFUGAN","GEOGRAPH_LOC"
55,"SUMISU RIFT","GEOGRAPH_LOC"
56,"KOMAHASHI","GEOGRAPH_LOC"
57,"NICHINAN","GEOGRAPH_LOC"
58,"COCHISE CRATER","GEOGRAPH_LOC"
59,"MEXICO","GEOGRAPH_LOC"
60,"LASHAINE","GEOGRAPH_LOC"
61,"ATLAS","GEOGRAPH_LOC"
62,"PITCAIRN","GEOGRAPH_LOC"
63,"GUATEMALA","GEOGRAPH_LOC"
64,"SAN MIGUEL","GEOGRAPH_LOC"
65,"EL BARU","GEOGRAPH_LOC"
66,"HONDURAS","GEOGRAPH_LOC"
67,"LA YEGUADA","GEOGRAPH_LOC"
68,"MULI","GEOGRAPH_LOC"
69,"SCHMITT-OTT","GEOGRAPH_LOC"
70,"THATCHERS NOSE","GEOGRAPH_LOC"
71,"ALEUTIAN","GEOGRAPH_LOC"
72,"ROSS","GEOGRAPH_LOC"
73,"LAS PALMA","GEOGRAPH_LOC"
74,"YELLOWSTONE PLATEAU","GEOGRAPH_LOC"
75,"PROVIDENCE","GEOGRAPH_LOC"
