"feature_of_interest_type_num","feature_of_interest_type_name","feature_of_interest_type_description"
2,"RIFT","geolocation_type"
3,"CRATON","geolocation_type"
4,"PLATEAU","geolocation_type"
5,"CINDER_CONE","geolocation_type"
6,"DIATREME","geolocation_type"
7,"MAAR","geolocation_type"
8,"VOLCANIC_PROVINCE","geolocation_type"
9,"VOLCANIC_FIELD","geolocation_type"
10,"OROGENIC_BELT","geolocation_type"
11,"MOBILE_BELT","geolocation_type"
12,"LARGE_IGNEOUS_PROVINCE","geolocation_type"
15,"ISLAND_GROUP","geolocation_type"
16,"OCEAN","geolocation_type"
19,"SEA","geolocation_type"
21,"SEAMOUNT_CHAIN","geolocation_type"
24,"COUNTRY","geolocation_type"
25,"AREA_ON_RIDGE","geolocation_type"
26,"RIDGE_SECTION","geolocation_type"
27,"FOCUS_SITE","geolocation_type"
29,"VOLCANO","geolocation_type"
30,"OCEANIC_RIDGE","geolocation_type"
1,"OPHIOLITE","geolocation_type|tectonic_setting"
13,"BACK-ARC_BASIN","geolocation_type|tectonic_setting"
14,"FRACTURE_ZONE","geolocation_type|tectonic_setting"
17,"OCEAN_BASIN","geolocation_type|tectonic_setting"
18,"OCEAN_ISLAND","geolocation_type|tectonic_setting"
20,"SEAMOUNT","geolocation_type|tectonic_setting"
22,"SPREADING_CENTER","geolocation_type|tectonic_setting"
23,"OCEANIC_PLATEAU","geolocation_type|tectonic_setting"
28,"VOLCANIC_ARC","geolocation_type|tectonic_setting"
31,"FOSSIL_RIDGE","geolocation_type|tectonic_setting"
32,"INTRAPLATE_CRATON","tectonic_setting"
33,"TRANSFORM_FAULT","tectonic_setting"
34,"ISLAND_ARC_ACCRETED","tectonic_setting"
35,"CONTINENTAL_RIFT","tectonic_setting"
36,"ABYSSAL_HILL","tectonic_setting"
37,"ASEISMIC_RIDGE","tectonic_setting"
38,"FAILED_RIFT","tectonic_setting"
39,"FOREARC","tectonic_setting"
40,"INCIPIENT_RIFT","tectonic_setting"
41,"OFF-AXIS_SPREADING_CENTER","tectonic_setting"
42,"OLD_OCEANIC_CRUST","tectonic_setting"
43,"TRENCH","tectonic_setting"
44,"TRIPLE_JUNCTION","tectonic_setting"
45,"RIFT_VALLEY","tectonic_setting"
46,"INTRAPLATE_OFF-CRATON","tectonic_setting"
47,"CONVERGENT_MARGIN","tectonic_setting"
48,"ASPECT","czchem_type"
49,"LANDSCAPE_POSITION","czchem_type"
50,"LAND_USE","czchem_type"
51,"MOUNTAIN","czchem_type"
52,"CITY","czchem_type"
53,"COUNTY","czchem_type"
54,"LAKE","czchem_type"
55,"LOCATION","czchem_type"
56,"CRITICAL ZONE OBSERVATORIES","czchem_type"
57,"NATIONAL PARK","czchem_type"
58,"OBSERVATORY","czchem_type"
59,"CENSUS DESIGNATED PLACE","czchem_type"
60,"PLACE","czchem_type"
